0.599 --> 4.399  join kids Hat Family
898.079 --> 901.079  foreign
910.16 --> 917.459  wow this seems to be a good idea every
914.519 --> 920.699  time I tip in the river the salt would
917.459 --> 924.2399999999999  dissolve and my burden could be less I
920.699 --> 928.0999999999999  must try doing this more often I hope
924.24 --> 928.1  Master is not watching
932.699 --> 936.8389999999999  thank you
934.199 --> 937.8599999999999  when the master reached the town to sell
936.839 --> 941.2790000000001  the salt
937.86 --> 943.8000000000001  it weighed just half of what he loaded
941.279 --> 947.519  thinking it might be his miscalculation
943.8 --> 951.56  he sold whatever salt was left
947.519 --> 951.5600000000001  and returned home with his horse
965.54 --> 972.24  the next morning he again loaded his
968.88 --> 976.459  horse with the sacks of salt
972.24 --> 976.4590000000001  and started to pack his food
978.36 --> 983.399  the horse yet again started walking
981.18 --> 986.279  before him
983.399 --> 988.86  and made it to the bridge
986.279 --> 992.8389999999999  I must try the dipping trick again
988.86 --> 992.839  before Master reaches here
1004.639 --> 1007.639  foreign
1036.699 --> 1041.559  the trader got really confused
1042.62 --> 1048.339  as the sacks started weighing lesser
1045.62 --> 1048.339  every time
1052.84 --> 1059.86  the horse purposely started slipping
1056.059 --> 1059.86  into the water every day
1062.12 --> 1066.76  so that the sacks became lighter
1079.24 --> 1085.24  one day the trader followed the horse
1098.2 --> 1103.82  and hid in the bushes
1100.82 --> 1103.82  foreign
1109.46 --> 1115.8400000000001  to his surprise he noticed the horse's
1113.059 --> 1115.84  new trick
1123.16 --> 1131.38  oh that's so funny
1126.08 --> 1131.3799999999999  must teach this lazy horse a lesson soon
1132.559 --> 1140.559  so the following day instead of salt the
1136.22 --> 1140.559  trader filled the sacks it's cotton
1140.86 --> 1145.6  and tied him to the horse's back
1159.2 --> 1165.52  out of his new habit the horse purposely
1162.26 --> 1165.52  fell into the river
1173.539 --> 1180.559  oh no no what is happening today what is
1177.86 --> 1185.36  going wrong how are these sacks getting
1180.559 --> 1188.1789999999999  heavier oh my back hurts what
1185.36 --> 1190.8799999999999  this time as the sacks were filled with
1188.179 --> 1193.3600000000001  cotton it soaked water and became
1190.88 --> 1193.3600000000001  heavier
1194.0 --> 1199.52  the horse dipped again and again in
1196.76 --> 1204.28  water thinking to drain the salt off
1199.52 --> 1204.28  somehow but all went in there
1206.659 --> 1213.0390000000002  he somehow managed to get up
1210.08 --> 1213.039  cross the bridge
1215.799 --> 1224.799  he sat on the ground and panted as the
1219.679 --> 1224.799  sacks had gotten really really heavy
1235.539 --> 1243.7  the trader laughed at him and said
1239.2 --> 1248.48  horse I am your master this is your work
1243.7 --> 1251.6000000000001  I work very hard and worship my work I
1248.48 --> 1255.44  don't make excuses of fine tricks to
1251.6 --> 1258.32  fool others and avoid work
1255.44 --> 1261.02  I must teach you to never repeat this
1258.32 --> 1263.6589999999999  and avoid your work
1261.02 --> 1267.82  the horse learned his lesson and never
1263.659 --> 1267.8200000000002  tried to avoid his work again
1271.299 --> 1279.26  what a wise Trader
1275.299 --> 1281.72  bright tofu he taught the lazy horse a
1279.26 --> 1284.96  good lesson
1281.72 --> 1288.4  come let me give you the big bitter
1284.96 --> 1288.4  medicine for your hand
1289.94 --> 1297.14  but hey I can see it's totally fine now
1293.12 --> 1301.039  maybe you have forgotten about the pain
1297.14 --> 1304.88  Tia I never had any pain I just wanted
1301.039 --> 1307.48  to sit and watch cartoons I was the lazy
1304.88 --> 1307.48  horse today
1308.559 --> 1316.6589999999999  I am sorry Tia I'm really worried about
1312.799 --> 1316.6589999999999  my teachers calling me tomorrow
1320.24 --> 1327.919  here take your books tofu I also was the
1324.86 --> 1330.26  trader today I just wanted you to learn
1327.919 --> 1332.7800000000002  a lesson
1330.26 --> 1336.14  now you should promise me that you will
1332.78 --> 1339.6789999999999  always do your work and yes I will help
1336.14 --> 1342.74  you with your homework oh thank you Tia
1339.679 --> 1347.26  please let's finish my homework quickly
1342.74 --> 1347.26  I don't want to be lazy at all
1347.419 --> 1355.72  I will always finish all my work before
1350.84 --> 1355.72  doing anything else I promise you that
1368.74 --> 1378.14  look that's a wolf out there he looks so
1374.299 --> 1381.9189999999999  big and cunning yeah tofu wolves are
1378.14 --> 1384.679  known to be clever and cunning my
1381.919 --> 1388.76  childhood memories with wolves are quite
1384.679 --> 1392.3600000000001  interesting especially the story of the
1388.76 --> 1396.5  wolf and the seven little goats the wolf
1392.36 --> 1401.74  and the seven little gods wow I haven't
1396.5 --> 1401.74  heard that one tell me the story Tia
1402.74 --> 1407.6200000000001  the wolf and the seven little goats
1407.799 --> 1415.6589999999999  once upon a time there lived a mama goat
1411.679 --> 1420.2  and her seven little kids
1415.659 --> 1423.0800000000002  this was a happy little home all the
1420.2 --> 1424.4  seven little kids used to play in The
1423.08 --> 1428.059  Meadows
1424.4 --> 1430.1000000000001  into the wild with the butterflies and
1428.059 --> 1433.46  birds singing along
1430.1 --> 1436.779  the days used to go in complete Harmony
1433.46 --> 1436.779  and Bliss
1437.9 --> 1446.5  until one day a big black wolf noticed
1443.36 --> 1448.1  these little kids playing in the middle
1446.5 --> 1452.24  hahaha
1448.1 --> 1456.5  such an easy treat there for me I
1452.24 --> 1460.039  haven't eaten since ages I'm sure these
1456.5 --> 1463.22  would make delicious lamb chops for my
1460.039 --> 1465.74  dinner tonight he waited for the moment
1463.22 --> 1467.14  when the mother goat would leave her
1465.74 --> 1471.7  kids alone
1467.14 --> 1471.7  patiently hiding in the bushes
1473.5 --> 1480.74  children I'm going to the market to buy
1477.2 --> 1484.279  bread and cookies for you I'll be back
1480.74 --> 1488.779  by evening just make sure you remain
1484.279 --> 1492.5  conscious of this big bad wolf
1488.779 --> 1495.679  but mommy how would we know if it's not
1492.5 --> 1499.64  you The Wretched wolf can easily be
1495.679 --> 1503.779  recognized with his host voice and black
1499.64 --> 1507.38  feet don't open the door or else you
1503.779 --> 1510.26  little ones would get into Danger Don't
1507.38 --> 1513.74  Worry Mommy we will take care of
1510.26 --> 1516.5  ourselves the mother goat went off to
1513.74 --> 1520.22  the market and the kids made doubly
1516.5 --> 1523.4  sharp with the locks on the door after
1520.22 --> 1527.1200000000001  making sure that they are safe in their
1523.4 --> 1531.279  little home off they went to play when
1527.12 --> 1535.9399999999998  suddenly there was a knock on the door
1531.279 --> 1538.1  hello my children open the door your
1535.94 --> 1541.22  mother is back
1538.1 --> 1544.8799999999999  hearing the voice the youngest one
1541.22 --> 1549.08  scampered to the door mommy mommy she's
1544.88 --> 1553.1000000000001  back in no time the eldest one ran to
1549.08 --> 1555.52  catch his little sibling no it's not our
1553.1 --> 1555.52  mummy
1555.74 --> 1562.52  she hasn't got such a rough voice
1558.679 --> 1566.539  and then looking at the door the eldest
1562.52 --> 1569.72  kid shouted back saying Go away you big
1566.539 --> 1573.3799999999999  bad wolf a mother doesn't have such a
1569.72 --> 1577.7  hoarse voice hearing this the wolf got
1573.38 --> 1580.46  annoyed and ran to get a box of chalk as
1577.7 --> 1584.539  he had heard that this would make his
1580.46 --> 1588.2  voice as soft as that of a baby
1584.539 --> 1591.679  but kids you shouldn't do this at any
1588.2 --> 1595.76  cost as this would only make your tummy
1591.679 --> 1598.46  ache badly so off he went and culped off
1595.76 --> 1602.299  the whole box of chalk
1598.46 --> 1606.08  knocking on the door again he said hello
1602.299 --> 1608.36  kids your mother is back
1606.08 --> 1613.52  what I have got for you
1608.36 --> 1616.3999999999999  cookies Breads and ginger ale oh that
1613.52 --> 1620.12  sounds like a mother should we open the
1616.4 --> 1624.6200000000001  door now but look down there a mother
1620.12 --> 1626.02  has not got black feet this is surely
1624.62 --> 1630.3799999999999  the wolf
1626.02 --> 1634.039  go away you big bad wolf a mother has
1630.38 --> 1638.0  not got black feet but beautiful white
1634.039 --> 1640.94  feet hearing this the wolf ran to the
1638.0 --> 1642.74  Miller and jumped into the mountain of
1640.94 --> 1646.0  white dough
1642.74 --> 1649.76  he was all white from head to toe
1646.0 --> 1651.679  running back to the house he knocked
1649.76 --> 1656.919  again and said
1651.679 --> 1660.38  kids your mother is back open the door
1656.919 --> 1661.64  that sounds like a mother and also the
1660.38 --> 1664.7600000000002  Theta White
1661.64 --> 1669.26  we should open the door now
1664.76 --> 1672.46  not knowing what danger awaits them all
1669.26 --> 1677.0  the kids ran to the door and opened it
1672.46 --> 1682.3990000000001  but just to see who was standing there
1677.0 --> 1685.58  the big bad wolf give a loud laugh and
1682.399 --> 1689.779  brushed off his white powder
1685.58 --> 1691.52  hello kids are you ready to become my
1689.779 --> 1694.64  feast tonight
1691.52 --> 1697.8799999999999  the kids ran here and there to save
1694.64 --> 1702.14  their lives one went inside the kettle
1697.88 --> 1704.8990000000001  the other in the oven one looked for a
1702.14 --> 1708.44  place under the bed and the other tried
1704.899 --> 1712.1589999999999  saving Itself by hiding in the pot
1708.44 --> 1715.279  the youngest one was so tiny that he
1712.159 --> 1719.419  managed to hide himself inside the clock
1715.279 --> 1722.5  case the wolf having no mercy
1719.419 --> 1726.919  started taking them out from the hidings
1722.5 --> 1729.919  one by one he rolled them in a bowl and
1726.919 --> 1733.46  cult them up ah
1729.919 --> 1737.8400000000001  there goes the first one
1733.46 --> 1742.22  oh the second one is under the bed
1737.84 --> 1745.34  here you go in no time he ate all the
1742.22 --> 1749.14  kids except for the youngest one who was
1745.34 --> 1749.1399999999999  hiding in the clock case
1749.179 --> 1752.539  Tommy full
1750.74 --> 1753.86  he burped
1752.539 --> 1756.86  the home
1753.86 --> 1760.76  when the mother returned she was shocked
1756.86 --> 1763.399  to see the door open and waited for the
1760.76 --> 1764.48  biggest nightmare that might have come
1763.399 --> 1768.6789999999999  true
1764.48 --> 1772.279  the house was all upside down the
1768.679 --> 1776.24  Crockery was broken the curtains were
1772.279 --> 1779.6  torn the chair was broken and the kids
1776.24 --> 1781.96  were nowhere to be found
1779.6 --> 1787.399  she cried for them
1781.96 --> 1790.3400000000001  children or children where are you at
1787.399 --> 1793.2199999999998  that very moment the youngest one came
1790.34 --> 1796.539  out of the clock case and hugged his
1793.22 --> 1801.5  mother crying and howling
1796.539 --> 1805.1589999999999  oh mother the bad was disguised Us by
1801.5 --> 1808.64  sounding and looking like you he ate up
1805.159 --> 1813.5590000000002  all my brothers and sisters what will we
1808.64 --> 1817.0  do now don't worry let's go and look for
1813.559 --> 1820.82  him we went out searching for the wolf
1817.0 --> 1824.2  his tummy was so filled that he slept
1820.82 --> 1827.899  off in a meadow near the house itself
1824.2 --> 1830.6200000000001  his nose was so loud that even the
1827.899 --> 1834.6789999999999  branches of the tree were shattering
1830.62 --> 1838.4599999999998  the mother goat very quietly went near
1834.679 --> 1839.6000000000001  him and asked her youngest kid to get
1838.46 --> 1842.6200000000001  scissors
1839.6 --> 1846.9399999999998  thread and a needle
1842.62 --> 1846.9399999999998  off he went to get them
1854.24 --> 1862.159  the mother goat very quietly slicked
1858.559 --> 1864.7  open his tummy and took out all her kids
1862.159 --> 1867.679  from his tummy
1864.7 --> 1871.64  they then filled up his tummy with
1867.679 --> 1874.3400000000001  stones as big as balls and then she
1871.64 --> 1875.8400000000001  stitched the tummy with the thread and
1874.34 --> 1879.559  the needle
1875.84 --> 1884.0  the wolf had such a huge feast after so
1879.559 --> 1887.36  long and he slept all night
1884.0 --> 1890.24  in the morning when he got up he was so
1887.36 --> 1891.799  thirsty that he tried running to the
1890.24 --> 1895.82  well
1891.799 --> 1897.5  belly was so heavy that he could hardly
1895.82 --> 1900.5  walk
1897.5 --> 1902.96  he picked up his belly and managed to
1900.5 --> 1906.98  reach the well
1902.96 --> 1909.44  moment he bent down to drink water he
1906.98 --> 1912.919  couldn't handle the weight and fell in
1909.44 --> 1915.679  the well the kids were looking at all of
1912.919 --> 1916.94  this from their window and shouted
1915.679 --> 1918.44  happily
1916.94 --> 1920.8990000000001  mommy mommy
1918.44 --> 1924.2  the wolf has died
1920.899 --> 1926.1789999999999  now we can play freely outside without
1924.2 --> 1931.419  any fear
1926.179 --> 1931.419  and they lived happily ever after
1932.86 --> 1941.84  now that was one cunning wolf
1936.98 --> 1947.559  but tofu if you be bad to others bad
1941.84 --> 1947.559  happens to you too always remember that
1962.6 --> 1965.6  foreign
1978.159 --> 1986.5390000000002  but why so I'm just trying to get my
1981.799 --> 1990.44  ball out but see those red ants
1986.539 --> 1992.62  you better be careful thanks Tia
1990.44 --> 1992.6200000000001  oh
1996.44 --> 1999.1000000000001  sit
2000.299 --> 2007.44  I'll tell you an interesting story
2003.58 --> 2007.4399999999998  Fox and the sick lion
2011.22 --> 2017.519  once upon a time there lived a lion in
2014.919 --> 2017.519  the forest
2020.919 --> 2027.22  as the lion was growing old he was
2024.34 --> 2029.4399999999998  unable to hunt for his food
2027.22 --> 2031.919  foreign
2029.44 --> 2036.179  he
2031.919 --> 2036.179  would die of starvation
2044.88 --> 2049.799  so the lion thought of a plan
2056.579 --> 2063.2200000000003  he decided to lie down in the cave and
2060.879 --> 2066.22  pretend that he is ill
2063.22 --> 2066.22  foreign
2077.399 --> 2083.2599999999998  whosoever will come to meet him will
2080.379 --> 2085.96  become his prey
2083.26 --> 2089.0200000000004  being the king of the jungle the lion
2085.96 --> 2093.159  announced he was sick and summoned the
2089.02 --> 2095.399  animals to come and hear his last will
2093.159 --> 2095.399  foreign
2113.339 --> 2118.56  put his sinful plan to practice and it
2116.74 --> 2121.66  started working
2118.56 --> 2125.859  four animals didn't know about his
2121.66 --> 2129.8999999999996  Wicked plan and fell into his trap many
2125.859 --> 2129.9  of his well-wishers got killed
2160.68 --> 2166.7999999999997  one day a fox came to visit the sick
2164.44 --> 2166.8  lion
2169.78 --> 2174.7200000000003  the fox was clever and discovered the
2172.839 --> 2178.599  trick
2174.72 --> 2182.3199999999997  he stood on the outside of the cave at a
2178.599 --> 2186.1600000000003  respectful distance and asked
2182.32 --> 2187.06  how are you sir I am not feeling well at
2186.16 --> 2192.04  all
2187.06 --> 2194.7599999999998  but why don't you come inside to meet me
2192.04 --> 2194.7599999999998  thank you sir
2198.4 --> 2208.2000000000003  there are no trace of any returning
2202.54 --> 2208.2  still if I come inside I would be a fool
2208.72 --> 2215.5789999999997  and the fox saved his life and informed
2212.26 --> 2215.579  other animals too
2220.079 --> 2227.82  so tofu the moral of the story is you
2224.079 --> 2227.82  should never trust a fake person
2242.619 --> 2245.619  foreign
2250.68 --> 2255.72  what in the world are you trying to do
2256.42 --> 2263.02  I am trying to plant those juicy fruits
2260.02 --> 2265.839  from this tree
2263.02 --> 2269.619  but do you think you would be able to
2265.839 --> 2271.06  pluck them they are so high
2269.619 --> 2274.54  oh
2271.06 --> 2278.98  I wish I could fly and pluck those
2274.54 --> 2282.16  fruits I so wish I had wings
2278.98 --> 2284.94  two wishes not bad but one should be
2282.16 --> 2288.96  conscious about the consequences come
2284.94 --> 2288.96  I'll tell you a story
2292.18 --> 2296.2799999999997  The Tortoise and the eagle
2302.94 --> 2307.7200000000003  a young tortoise was lazing around a
2306.339 --> 2312.54  riverbank
2307.72 --> 2312.54  looking at the birds flying in the sky
2314.56 --> 2318.16  stared at them and started thinking out
2317.14 --> 2322.54  aloud
2318.16 --> 2325.2999999999997  I wish I could fly like those birds up
2322.54 --> 2328.48  high in the sky and watch the beautiful
2325.3 --> 2330.2200000000003  sceneries and beauty of the world from
2328.48 --> 2335.2  Top of the World
2330.22 --> 2338.3199999999997  oh I so wish that nearby an eagle was
2335.2 --> 2340.839  sitting on a stone listening to what the
2338.32 --> 2344.1400000000003  tortoise was thinking out loud and
2340.839 --> 2345.82  couldn't resist but ask why do you want
2344.14 --> 2348.22  to fly
2345.82 --> 2351.76  you should be happy with what you are
2348.22 --> 2354.8199999999997  gifted with I wish I could fly with no
2351.76 --> 2357.2200000000003  trouble of crawling on the ground so say
2354.82 --> 2359.92  that you want to fly because you don't
2357.22 --> 2363.7  want to crawl not because you wish to
2359.92 --> 2365.92  see the world from the sky anyway what
2363.7 --> 2368.2599999999998  will I get in return for making you fly
2365.92 --> 2371.079  in the sky
2368.26 --> 2374.099  I'll give you the riches of gold from
2371.079 --> 2374.099  the Red Sea
2377.64 --> 2385.5989999999997  so the eagle grabbed the tortoise in its
2381.099 --> 2388.0  claws and soared up high in the sky
2385.599 --> 2391.44  making him see all the beautiful
2388.0 --> 2391.44  sceneries of the world
2392.02 --> 2396.52  flying higher in the clouds and closer
2394.96 --> 2399.4  to the Stars
2396.52 --> 2402.0  it was indeed a mesmerizing moment for
2399.4 --> 2402.0  the tortoise
2402.78 --> 2407.98  while the eagle was flying over the
2405.7 --> 2411.16  riverbank
2407.98 --> 2412.56  the rest of the tortoise were basking in
2411.16 --> 2415.72  the sun
2412.56 --> 2417.16  suddenly the tortoise flying high up in
2415.72 --> 2420.52  the sky said
2417.16 --> 2423.94  I wish my friends could watch me flying
2420.52 --> 2426.579  so high in the sky I am sure they would
2423.94 --> 2430.0  get jealous watching me
2426.579 --> 2433.119  what why would you want your friends to
2430.0 --> 2437.38  get jealous of you I want them to see
2433.119 --> 2439.0  that I can fly and they cannot it's such
2437.38 --> 2442.0  a nice feeling
2439.0 --> 2443.8  what an evil friend this tortoise is
2442.0 --> 2446.74  thought the eagle
2443.8 --> 2448.119  with this the eagle drops him on the
2446.74 --> 2451.8999999999996  ground
2448.119 --> 2454.48  and asked for his treasure Now give me
2451.9 --> 2458.26  my reward
2454.48 --> 2460.72  there is no reward I was just kidding
2458.26 --> 2463.5  about the gold so that you could take me
2460.72 --> 2463.5  for a ride
2463.54 --> 2470.14  and with this the tortoise left the
2467.38 --> 2474.06  eagle couldn't tolerate his insult and
2470.14 --> 2474.06  decided to teach him a lesson
2474.72 --> 2481.5989999999997  so the next day the eagle went to the
2478.119 --> 2486.94  tortoise and said hey would you like to
2481.599 --> 2489.54  go for a sky ride again yes sure I would
2486.94 --> 2489.54  love to
2491.98 --> 2499.02  the eagle once again picked him up and
2495.339 --> 2499.02  clenched him in his claws
2499.119 --> 2504.94  the tortoise while enjoying the ride
2501.76 --> 2507.46  said to the eagle why did you bring me
2504.94 --> 2510.88  again for the ride even though I
2507.46 --> 2514.119  Dishonored my promise of rewarding you
2510.88 --> 2518.02  that's because tortoise you wish to make
2514.119 --> 2521.44  your friends jealous but at my cost and
2518.02 --> 2525.52  now I'll let you enjoy the Free Fall
2521.44 --> 2527.7400000000002  the eagle lets his claws loose and the
2525.52 --> 2531.88  Tortoise went falling down
2527.74 --> 2535.54  screaming for help and flying no longer
2531.88 --> 2539.6800000000003  he crashed on the ground with a thud
2535.54 --> 2543.04  thanks to his show he didn't get injured
2539.68 --> 2544.1189999999997  soon his old friend surrounded him and
2543.04 --> 2548.14  said
2544.119 --> 2551.6800000000003  hey our young friend you wanted to see
2548.14 --> 2556.06  the world from high up in the sky to
2551.68 --> 2559.18  dream big is not a sin but to dream it
2556.06 --> 2561.339  at the cost of others is just not
2559.18 --> 2564.64  justifiable
2561.339 --> 2567.099  I have learned my lesson now I should be
2564.64 --> 2570.22  thankful to God for what I am blessed
2567.099 --> 2573.1600000000003  with it was my shell only that saved my
2570.22 --> 2576.04  life I should be happy with what I have
2573.16 --> 2579.5789999999997  and also should not use others for my
2576.04 --> 2581.68  selfish reasons I surely have learned my
2579.579 --> 2585.46  lesson
2581.68 --> 2587.56  Tia now I know what you are trying to
2585.46 --> 2590.28  say
2587.56 --> 2593.2  I learned a lesson too
2590.28 --> 2597.52  one should think about the consequences
2593.2 --> 2600.46  before one wishes for something
2597.52 --> 2603.04  I should be happy with what I am blessed
2600.46 --> 2606.64  with I should rather look for an
2603.04 --> 2610.8  alternative to pluck those fruits
2606.64 --> 2616.0789999999997  wait I'll get a ladder
2610.8 --> 2616.079  tofu you learn things quite fast
2631.26 --> 2637.119  dear where are you I am here tofu what
2636.22 --> 2640.8999999999996  happened
2637.119 --> 2643.6600000000003  Tia you keep on teaching me new morals
2640.9 --> 2645.819  through different stories today I'll
2643.66 --> 2650.14  tell you a story that a teacher taught
2645.819 --> 2652.859  us in class oh really I'm so eager to
2650.14 --> 2652.859  listen to it
2653.38 --> 2660.76  the dog and the bone
2656.74 --> 2663.2999999999997  Once Upon a Time in the dark alleys of a
2660.76 --> 2663.3  small village
